,country_or_area,iso_alpha3_code,m49_code,region_1,region_2,continent
0,Afghanistan,AFG,4,Southern Asia,,Asia
1,Åland Islands,ALA,248,Northern Europe,,Europe
2,Albania,ALB,8,Southern Europe,,Europe
3,Algeria,DZA,12,Northern Africa,,Africa
4,American Samoa,ASM,16,Polynesia,,Oceania
5,Andorra,AND,20,Southern Europe,,Europe
6,Angola,AGO,24,Middle Africa,Sub-Saharan Africa,Africa
7,Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America
8,Antarctica,ATA,10,Antarctica,,Antarctica
9,Antigua and Barbuda,ATG,28,Caribbean,Latin America and the Caribbean,North America
10,Argentina,ARG,32,South America,Latin America and the Caribbean,South America
11,Armenia,ARM,51,Western Asia,,Asia
12,Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America
13,Australia,AUS,36,Australia and New Zealand,,Oceania
14,Austria,AUT,40,Western Europe,,Europe
15,Azerbaijan,AZE,31,Western Asia,,Asia
16,Bahamas,BHS,44,Caribbean,Latin America and the Caribbean,North America
17,Bahrain,BHR,48,Western Asia,,Asia
18,Bangladesh,BGD,50,Southern Asia,,Asia
19,Barbados,BRB,52,Caribbean,Latin America and the Caribbean,North America
20,Belarus,BLR,112,Eastern Europe,,Europe
21,Belgium,BEL,56,Western Europe,,Europe
22,Belize,BLZ,84,Central America,Latin America and the Caribbean,North America
23,Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa
24,Bermuda,BMU,60,Northern America,,North America
25,Bhutan,BTN,64,Southern Asia,,Asia
26,Bolivia (Plurinational State of),BOL,68,South America,Latin America and the Caribbean,South America
27,"Bonaire, Sint Eustatius and Saba",BES,535,Caribbean,Latin America and the Caribbean,North America
28,Bosnia and Herzegovina,BIH,70,Southern Europe,,Europe
29,Botswana,BWA,72,Southern Africa,Sub-Saharan Africa,Africa
30,Bouvet Island,BVT,74,South America,Latin America and the Caribbean,South America
31,Brazil,BRA,76,South America,Latin America and the Caribbean,South America
32,British Indian Ocean Territory,IOT,86,Eastern Africa,Sub-Saharan Africa,Africa
33,British Virgin Islands,VGB,92,Caribbean,Latin America and the Caribbean,North America
34,Brunei Darussalam,BRN,96,South-eastern Asia,,Asia
35,Bulgaria,BGR,100,Eastern Europe,,Europe
36,Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa
37,Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa
38,Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa
39,Cambodia,KHM,116,South-eastern Asia,,Asia
40,Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa
41,Canada,CAN,124,Northern America,,North America
42,Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America
43,Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa
44,Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa
45,Chile,CHL,152,South America,Latin America and the Caribbean,South America
46,China,CHN,156,Eastern Asia,,Asia
47,"China, Hong Kong Special Administrative Region",HKG,344,Eastern Asia,,Asia
48,"China, Macao Special Administrative Region",MAC,446,Eastern Asia,,Asia
49,Christmas Island,CXR,162,Australia and New Zealand,,Oceania
50,Cocos (Keeling) Islands,CCK,166,Australia and New Zealand,,Oceania
51,Colombia,COL,170,South America,Latin America and the Caribbean,South America
