date,state,fips,cum_cases,cum_deaths,cases,deaths,alpha_code
2020-01-21,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-22,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-23,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-24,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-25,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-26,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-27,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-28,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-29,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-30,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-01-31,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-01,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-02,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-03,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-04,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-05,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-06,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-07,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-08,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-09,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-10,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-11,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-12,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-13,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-14,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-15,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-16,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-17,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-18,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-19,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-20,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-21,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-22,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-23,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-24,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-25,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-26,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-27,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-28,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-02-29,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-03-01,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-03-02,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-03-03,Alabama,01,0.0,0.0,0.0,0.0,AL
2020-03-04,Alabama,01,0.0,0.0,0.0,0.0,AL
